pOTU,Phylodist,Niche0ver,CladeID
pOTU002_pOTU014,46,0.26803643,NN
pOTU002_pOTU012,48,0.329818423,NN
pOTU002_pOTU013,46,0.136494081,NN
pOTU002_pOTU006,46,0.025007938,NN
pOTU002_pOTU009,44,0.479974071,NN
pOTU002_pOTU001,48,0.478317654,NN
pOTU043_pOTU047,46,0.286020515,NN
pOTU043_pOTU059,46,0.324481692,NN
pOTU043_pOTU049,46,0.643720732,NN
pOTU043_pOTU054,46,0.046583141,NN
pOTU043_pOTU036,48,0.08661162,NN
pOTU043_pOTU005,46,0.611594856,NN
pOTU043_pOTU004,46,0.434318404,NN
pOTU043_pOTU003,46,0.32156328,NN
pOTU043_pOTU002,46,0.40841301,NN
pOTU043_pOTU046,52,0.470778983,NN
pOTU043_pOTU048,46,0.237947061,NN
pOTU043_pOTU041,52,0.55045259,NN
pOTU043_pOTU042,52,0.36520349,NN
pOTU043_pOTU032,46,0.607760792,NN
pOTU043_pOTU038,52,0.533304811,NN
pOTU043_pOTU029,46,0.462338637,NN
pOTU043_pOTU023,46,0.378258188,NN
pOTU043_pOTU028,46,0.547651858,NN
pOTU043_pOTU027,52,0.477437283,NN
pOTU043_pOTU019,46,0.638224699,NN
pOTU043_pOTU021,48,0.505066191,NN
pOTU043_pOTU018,46,0.410675283,NN
pOTU043_pOTU016,46,0.455510516,NN
pOTU043_pOTU020,46,0.188079904,NN
pOTU043_pOTU017,46,0.540533778,NN
pOTU043_pOTU008,46,0.521232816,NN
pOTU043_pOTU011,46,0.481216068,NN
pOTU043_pOTU010,46,0.576716199,NN
pOTU043_pOTU051,46,1.00E-05,NN
pOTU043_pOTU052,46,7.77E-10,NN
pOTU043_pOTU030,48,0.086426961,NN
pOTU043_pOTU037,48,7.39E-08,NN
pOTU043_pOTU040,50,7.38E-06,NN
pOTU043_pOTU031,48,0.018400184,NN
pOTU043_pOTU015,48,2.83E-05,NN
pOTU043_pOTU012,48,0.012701086,NN
pOTU043_pOTU009,46,0.075779236,NN
pOTU043_pOTU007,46,0.018853218,NN
pOTU043_pOTU001,48,0.021205977,NN
pOTU046_pOTU047,52,0.176751887,NN
pOTU046_pOTU059,52,0.221685597,NN
pOTU046_pOTU049,52,0.587336849,NN
pOTU046_pOTU054,52,0.017261668,NN
pOTU046_pOTU036,52,0.047527349,NN
pOTU046_pOTU022,52,0.329570165,NN
pOTU046_pOTU005,52,0.714352474,NN
pOTU046_pOTU004,52,0.707178084,NN
pOTU046_pOTU003,52,0.288627857,NN
pOTU046_pOTU002,52,0.272751353,NN
pOTU046_pOTU043,52,0.470778983,NN
pOTU046_pOTU045,52,0.7030422,NN
pOTU046_pOTU048,52,0.61754961,NN
pOTU046_pOTU044,52,0.590952741,NN
pOTU046_pOTU039,52,0.42752634,NN
pOTU046_pOTU032,52,0.627350894,NN
pOTU046_pOTU034,52,0.764907966,NN
pOTU046_pOTU035,52,0.397944212,NN
pOTU046_pOTU033,52,0.705928293,NN
pOTU046_pOTU029,52,0.560563257,NN
pOTU046_pOTU025,52,0.676162568,NN
pOTU046_pOTU023,52,0.706585791,NN
pOTU046_pOTU026,52,0.732611447,NN
pOTU046_pOTU028,52,0.316379061,NN
pOTU046_pOTU019,52,0.576703125,NN
pOTU046_pOTU021,52,0.542831172,NN
pOTU046_pOTU018,52,0.239834146,NN
pOTU046_pOTU024,52,0.614278813,NN
pOTU046_pOTU016,52,0.598811473,NN
pOTU046_pOTU020,52,0.075989034,NN
pOTU046_pOTU017,52,0.672560284,NN
pOTU046_pOTU008,52,0.685093588,NN
pOTU046_pOTU011,52,0.706158927,NN
pOTU046_pOTU010,52,0.304709732,NN
pOTU046_pOTU051,52,0,NN
pOTU046_pOTU052,52,0,NN
pOTU046_pOTU030,52,0.040356547,NN
pOTU046_pOTU037,52,0,NN
pOTU046_pOTU040,52,2.99E-07,NN
pOTU046_pOTU031,52,0.004609711,NN
pOTU046_pOTU015,52,3.65E-06,NN
pOTU046_pOTU014,52,0.00365322,NN
pOTU046_pOTU012,52,0.00140353,NN
pOTU046_pOTU013,52,1.01E-05,NN
pOTU046_pOTU006,52,0.000755771,NN
pOTU046_pOTU009,52,0.040046837,NN
pOTU046_pOTU007,52,0.014003962,NN
pOTU046_pOTU001,52,0.013383603,NN
pOTU045_pOTU047,46,0.105957424,NN
pOTU045_pOTU059,46,0.299465046,NN
pOTU045_pOTU049,46,0.481760878,NN
pOTU045_pOTU054,46,0.014732512,NN
pOTU045_pOTU036,48,0.013505156,NN
pOTU045_pOTU005,46,0.642359175,NN
pOTU045_pOTU004,46,0.643411877,NN
pOTU045_pOTU003,46,0.226709063,NN
pOTU045_pOTU002,46,0.200050853,NN
pOTU045_pOTU046,52,0.7030422,NN
pOTU045_pOTU048,46,0.631771535,NN
pOTU045_pOTU041,52,0.749762088,NN
pOTU045_pOTU042,52,0.769898949,NN
pOTU045_pOTU032,46,0.662167368,NN
pOTU045_pOTU038,52,0.681927341,NN
pOTU045_pOTU029,46,0.519346753,NN
pOTU045_pOTU023,46,0.596909096,NN
pOTU045_pOTU028,46,0.290143888,NN
pOTU045_pOTU027,52,0.744730868,NN
pOTU045_pOTU019,46,0.536431367,NN
pOTU045_pOTU021,48,0.61351871,NN
pOTU045_pOTU018,46,0.195290596,NN
pOTU045_pOTU016,46,0.552111064,NN
pOTU045_pOTU020,46,0.028378877,NN
pOTU045_pOTU017,46,0.603604301,NN
pOTU045_pOTU008,46,0.608443747,NN
pOTU045_pOTU011,46,0.680052078,NN
pOTU045_pOTU010,46,0.351950232,NN
pOTU045_pOTU051,46,0,NN
pOTU045_pOTU052,46,0,NN
pOTU045_pOTU030,48,0.008412168,NN
pOTU045_pOTU037,48,0,NN
pOTU045_pOTU040,50,0,NN
pOTU045_pOTU031,48,0.000116441,NN
pOTU045_pOTU015,48,0,NN
pOTU045_pOTU012,48,0.000228183,NN
pOTU045_pOTU009,46,0.004389395,NN
pOTU045_pOTU007,46,0.008037189,NN
pOTU045_pOTU001,48,0.006704282,NN
pOTU048_pOTU047,42,0.065009425,NN
pOTU048_pOTU049,44,0.344778227,NN
pOTU048_pOTU036,48,0.006398754,NN
pOTU048_pOTU022,46,0.164995136,NN
pOTU048_pOTU005,44,0.448007145,NN
pOTU048_pOTU004,42,0.539704459,NN
pOTU048_pOTU003,44,0.159839769,NN
pOTU048_pOTU043,46,0.237947061,NN
pOTU048_pOTU046,52,0.61754961,NN
pOTU048_pOTU045,46,0.631771535,NN
pOTU048_pOTU041,52,0.534658738,NN
pOTU048_pOTU044,46,0.454986801,NN
pOTU048_pOTU042,52,0.790123622,NN
pOTU048_pOTU039,46,0.298246187,NN
pOTU048_pOTU038,52,0.499840415,NN
pOTU048_pOTU034,46,0.487579909,NN
pOTU048_pOTU035,46,0.263725318,NN
pOTU048_pOTU033,46,0.470669814,NN
pOTU048_pOTU025,46,0.434937736,NN
pOTU048_pOTU026,46,0.452996708,NN
pOTU048_pOTU027,52,0.571498816,NN
pOTU048_pOTU019,44,0.343535679,NN
pOTU048_pOTU021,48,0.358328796,NN
pOTU048_pOTU024,46,0.517978642,NN
pOTU048_pOTU052,44,0,NN
pOTU048_pOTU030,48,0.004183679,NN
pOTU048_pOTU037,48,0,NN
pOTU048_pOTU040,50,0,NN
pOTU048_pOTU031,48,5.54E-06,NN
pOTU048_pOTU015,48,0,NN
pOTU048_pOTU014,46,0.000179528,NN
pOTU048_pOTU012,48,4.04E-05,NN
pOTU048_pOTU013,46,0,NN
pOTU048_pOTU006,46,0.000755771,NN
pOTU048_pOTU009,44,0.001169157,NN
pOTU048_pOTU001,48,0.0040341,NN
pOTU041_pOTU047,52,0.160947631,NN
pOTU041_pOTU059,52,0.320155717,NN
pOTU041_pOTU049,52,0.616732134,NN
pOTU041_pOTU054,52,0.020080587,NN
pOTU041_pOTU036,52,0.035812693,NN
pOTU041_pOTU022,52,0.319310167,NN
